voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
c63fhs4yd3,"2020-07-17 01:43:58",swzw2ts6,5,0,0,0,0,0
6pyd4fzewa,"2020-07-17 01:52:30",swzw2ts6,0,0,0,0,0,0
52edwpxrrs,"2020-07-17 02:13:28",swzw2ts6,5,5,3,3,3,4
ef4awc5da1,"2020-07-17 02:14:29",swzw2ts6,5,1,0,1,0,0
f73wd54dk3,"2020-07-17 02:24:16",swzw2ts6,0,5,1,4,1,1
5wrmwy2r3m,"2020-07-17 02:53:14",swzw2ts6,5,5,3,3,3,5
z4ny9hsc5x,"2020-07-17 03:47:51",swzw2ts6,5,0,0,0,0,0
emsx1xs6dx,"2020-07-17 03:51:10",swzw2ts6,5,0,0,0,0,0
ez49nnstf6,"2020-07-17 04:10:06",swzw2ts6,5,0,0,0,0,0
k7d6nf44pt,"2020-07-17 04:24:10",swzw2ts6,5,0,0,0,0,0
c4hfpz57t5,"2020-07-17 04:30:12",swzw2ts6,0,0,0,5,0,0
zke4y3wz42,"2020-07-17 04:39:43",swzw2ts6,5,0,0,0,0,0
td7n426r27,"2020-07-17 05:03:11",swzw2ts6,5,0,0,5,0,0
5fepdn5fy9,"2020-07-17 05:15:42",swzw2ts6,5,0,0,0,0,0
ck61n5rn7h,"2020-07-17 05:19:30",swzw2ts6,5,0,0,1,0,0
9t62x2hsst,"2020-07-17 05:19:56",swzw2ts6,5,0,0,0,0,0
hpmwrs6smd,"2020-07-17 05:21:01",swzw2ts6,3,4,5,4,0,0
pycz3axeff,"2020-07-17 05:38:30",swzw2ts6,5,0,0,0,0,0
sfhpewdmc6,"2020-07-17 05:57:27",swzw2ts6,5,0,0,0,0,0
153e2m1x3d,"2020-07-17 06:01:34",swzw2ts6,0,0,3,5,0,0
y1z4t6wss4,"2020-07-17 06:01:35",swzw2ts6,5,0,0,0,0,0
21emdwm6c2,"2020-07-17 06:11:53",swzw2ts6,5,0,0,4,0,0
newkfeyrz1,"2020-07-17 06:27:51",swzw2ts6,5,0,0,0,0,0
e7y7sxsk2k,"2020-07-17 06:28:52",swzw2ts6,1,4,3,5,2,2
pf5zr454sw,"2020-07-17 06:45:06",swzw2ts6,0,0,0,0,0,0
c3ncm9pt43,"2020-07-17 06:48:09",swzw2ts6,5,3,1,3,1,1
3m22td1cm1,"2020-07-17 06:51:00",swzw2ts6,5,0,0,0,0,0
mswfd6m4sd,"2020-07-17 06:55:07",swzw2ts6,0,0,0,3,5,0
15912zppxc,"2020-07-17 06:59:06",swzw2ts6,5,0,0,0,0,0
k6s1y7ds3d,"2020-07-17 07:04:14",swzw2ts6,5,0,0,0,0,0
594erza4rs,"2020-07-17 07:06:30",swzw2ts6,5,0,0,0,0,0
61f7m23rk7,"2020-07-17 07:06:43",swzw2ts6,0,0,0,5,0,0
eyad1z32zf,"2020-07-17 07:08:02",swzw2ts6,1,0,0,0,0,0
z2226rz3pm,"2020-07-17 07:08:20",swzw2ts6,5,0,0,0,0,0
46xf3m19yc,"2020-07-17 07:08:33",swzw2ts6,5,0,0,0,0,0
npx95ka2y9,"2020-07-17 07:09:47",swzw2ts6,5,0,0,0,0,0
