voterID,voteTime,pollID,"Judge Jim Gray","Jacob Hornberger","Adam Kokesh","Arvin Vohra","Dan Behrman","Jo Jorgensen","Brian Ellison","Erik Gerhardt","Jedidiah Hill","Keenan Dunham","John Monds","Kenneth Blevins","Louis Vanacore","Phil Gray","Sorinne Ardeleanu","Sam Robb","Souraya Faas","Steve Richey","Vermin Supreme"
km2ran52me,"2020-05-16 15:29:46",dd1wc4yx,4,3,2,0,0,3,0,1,0,0,3,1,0,2,0,0,0,0,2
n5dcrsmn3t,"2020-05-16 15:30:20",dd1wc4yx,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
rftf97eca7,"2020-05-16 15:30:34",dd1wc4yx,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5kd93cp13f,"2020-05-16 15:30:47",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cn33nkdr6e,"2020-05-16 15:32:59",dd1wc4yx,3,3,1,1,3,1,0,0,0,1,0,0,0,0,0,4,0,0,0
fxxzace75f,"2020-05-16 15:33:43",dd1wc4yx,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9pkp7e3sm1,"2020-05-16 15:34:27",dd1wc4yx,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2zxtpw1cnp,"2020-05-16 15:35:02",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
stxehh7pre,"2020-05-16 15:36:05",dd1wc4yx,0,0,0,0,1,0,0,3,0,0,3,5,0,0,0,3,0,0,0
n3efywy41w,"2020-05-16 15:37:24",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kk6n37dthf,"2020-05-16 15:37:30",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9972edyhr3,"2020-05-16 15:38:28",dd1wc4yx,5,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
ercex6syx2,"2020-05-16 15:38:28",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d6hh7smcw,"2020-05-16 15:38:37",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9kxhh2ktyt,"2020-05-16 15:38:40",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axdwapwpkp,"2020-05-16 15:39:25",dd1wc4yx,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5
prtp27sfnz,"2020-05-16 15:41:14",dd1wc4yx,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
xazntae1pr,"2020-05-16 15:42:05",dd1wc4yx,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
h7e5ma2hw2,"2020-05-16 15:42:10",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ty9fz49s1y,"2020-05-16 15:42:17",dd1wc4yx,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
61p3zntx57,"2020-05-16 15:43:29",dd1wc4yx,2,3,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
x6x3d179pc,"2020-05-16 15:43:47",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yrmn1x43w1,"2020-05-16 15:44:16",dd1wc4yx,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6chrzf5hr6,"2020-05-16 15:44:48",dd1wc4yx,5,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
wzrdyyp5sn,"2020-05-16 15:45:16",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2p29fk46t1,"2020-05-16 15:46:31",dd1wc4yx,1,0,4,0,5,1,0,0,0,0,2,0,0,0,1,4,0,0,0
fw65fy9w31,"2020-05-16 15:46:52",dd1wc4yx,3,3,5,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,5
6cy79d7pdf,"2020-05-16 15:46:56",dd1wc4yx,4,2,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3
23nzmcxdcr,"2020-05-16 15:47:12",dd1wc4yx,5,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
55z67znzpe,"2020-05-16 15:47:28",dd1wc4yx,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29hw9zd3yh,"2020-05-16 15:48:30",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fy3ch12mnk,"2020-05-16 15:48:36",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ce9td3ktd,"2020-05-16 15:48:44",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2wnd2mnk6z,"2020-05-16 15:49:36",dd1wc4yx,5,3,2,0,1,3,1,2,1,1,0,1,0,0,0,0,0,1,0
n9dy7fxxmh,"2020-05-16 15:50:00",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmazwcpm4c,"2020-05-16 15:50:14",dd1wc4yx,5,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rnn6s66na2,"2020-05-16 15:50:23",dd1wc4yx,5,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1
erkpnhx3ca,"2020-05-16 15:50:34",dd1wc4yx,5,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
zn15pcs2kt,"2020-05-16 15:52:37",dd1wc4yx,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
anyzy5h399,"2020-05-16 15:54:05",dd1wc4yx,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3x2mmpcsw,"2020-05-16 15:55:13",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kwxepea9ak,"2020-05-16 15:55:22",dd1wc4yx,2,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
xytt1m22ea,"2020-05-16 15:57:40",dd1wc4yx,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
he14zyhsz1,"2020-05-16 15:59:36",dd1wc4yx,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
3y6ky5wmrw,"2020-05-16 15:59:51",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
k34ewtxf2x,"2020-05-16 16:00:04",dd1wc4yx,5,5,4,2,4,4,3,3,3,1,2,1,4,5,4,2,3,3,5
r4y373c4pk,"2020-05-16 16:01:41",dd1wc4yx,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
f4x79yy17y,"2020-05-16 16:01:58",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
76pwdtwnyd,"2020-05-16 16:03:04",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
29rned9d1z,"2020-05-16 16:04:04",dd1wc4yx,4,4,2,0,0,5,0,0,0,0,4,0,0,0,4,0,0,0,1
xen1zkx299,"2020-05-16 16:05:14",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5zh56nm93w,"2020-05-16 16:06:22",dd1wc4yx,5,2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
p6xz2519xc,"2020-05-16 16:06:37",dd1wc4yx,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
dmmrcahh2p,"2020-05-16 16:08:57",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mewmkdfc1n,"2020-05-16 16:09:46",dd1wc4yx,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mmkhy6p5re,"2020-05-16 16:10:24",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmpck4estw,"2020-05-16 16:10:56",dd1wc4yx,3,2,3,1,0,5,0,0,0,0,1,0,0,0,5,0,0,0,5
6rdz53h4sz,"2020-05-16 16:11:07",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1p74t5k6a,"2020-05-16 16:12:02",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ehfcwm6tfs,"2020-05-16 16:12:54",dd1wc4yx,5,5,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,3
h37pzd94m3,"2020-05-16 16:13:58",dd1wc4yx,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sh9a1txyxw,"2020-05-16 16:14:43",dd1wc4yx,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
c639ats2ma,"2020-05-16 16:15:10",dd1wc4yx,3,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
7twe654k22,"2020-05-16 16:15:44",dd1wc4yx,5,3,0,0,3,5,0,0,0,0,5,3,0,0,0,4,0,0,1
haceefxdt4,"2020-05-16 16:16:41",dd1wc4yx,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ewt31wnktf,"2020-05-16 16:18:50",dd1wc4yx,5,4,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4
54ts56p453,"2020-05-16 16:19:18",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dhr65nrsam,"2020-05-16 16:19:38",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c69rrnf2s1,"2020-05-16 16:20:35",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tkk1kzspx5,"2020-05-16 16:20:39",dd1wc4yx,5,0,1,1,3,3,2,1,1,1,2,1,1,1,1,1,1,0,3
p6daa5c1m1,"2020-05-16 16:21:10",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ezamezt7z,"2020-05-16 16:23:32",dd1wc4yx,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n72spews2x,"2020-05-16 16:23:34",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911yp1ma4p,"2020-05-16 16:24:23",dd1wc4yx,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
hdwdcpehk6,"2020-05-16 16:27:13",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrchf1rpm7,"2020-05-16 16:28:36",dd1wc4yx,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
p6xhe62wkz,"2020-05-16 16:31:58",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9dh4spk4ct,"2020-05-16 16:38:30",dd1wc4yx,5,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,0,0
s96y5mtkww,"2020-05-16 16:39:36",dd1wc4yx,5,3,4,1,1,4,2,0,0,0,0,0,0,0,0,2,0,0,0
hpstkdmp6h,"2020-05-16 16:40:45",dd1wc4yx,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
s3ep6nh11z,"2020-05-16 16:41:14",dd1wc4yx,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
p41x26x14y,"2020-05-16 16:41:47",dd1wc4yx,5,2,3,0,2,3,0,1,0,0,3,0,0,0,2,2,0,0,0
km676cm21z,"2020-05-16 16:42:25",dd1wc4yx,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cd5nr9fy6p,"2020-05-16 16:45:38",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yypryanrxf,"2020-05-16 16:46:18",dd1wc4yx,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dx3c2rkyrc,"2020-05-16 16:47:05",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r25sw99537,"2020-05-16 16:47:17",dd1wc4yx,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3dpyx7z49,"2020-05-16 16:47:55",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d64p5z156c,"2020-05-16 16:48:22",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9zpmzh3x3w,"2020-05-16 16:49:07",dd1wc4yx,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tp2ptexshe,"2020-05-16 16:49:57",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptedft2c6t,"2020-05-16 16:50:00",dd1wc4yx,5,2,0,0,0,3,0,0,0,0,3,0,0,0,4,0,4,0,0
f1kza73wae,"2020-05-16 16:50:02",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2kr264xs4n,"2020-05-16 16:50:18",dd1wc4yx,3,5,5,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,4
ttcm17h5p2,"2020-05-16 16:50:24",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9hw4mm5957,"2020-05-16 16:50:48",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2mdrwwfyhd,"2020-05-16 16:53:45",dd1wc4yx,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
zx1xtp3hxs,"2020-05-16 16:54:29",dd1wc4yx,4,3,2,0,2,4,1,0,0,0,4,0,0,0,0,2,0,0,5
65tr9yepky,"2020-05-16 16:55:18",dd1wc4yx,5,5,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3
hdpa7rm46k,"2020-05-16 16:55:32",dd1wc4yx,5,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1cs2e4r1rm,"2020-05-16 16:56:12",dd1wc4yx,5,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
nfmtzkr31k,"2020-05-16 16:57:01",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244nh2ete1,"2020-05-16 16:58:15",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2hmymsr653,"2020-05-16 16:59:32",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd5p4tt6sw,"2020-05-16 17:02:23",dd1wc4yx,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xp79nndf3t,"2020-05-16 17:05:16",dd1wc4yx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35xd5whyan,"2020-05-16 17:06:03",dd1wc4yx,5,5,4,2,4,4,3,3,3,3,4,4,3,5,3,3,3,3,4
1nex3whw25,"2020-05-16 17:06:37",dd1wc4yx,5,1,2,1,2,3,1,1,1,2,1,1,1,1,0,1,1,1,4
32ds2e2nxf,"2020-05-16 17:12:28",dd1wc4yx,5,1,0,0,1,4,0,1,0,1,3,1,1,0,1,0,1,0,4
eaar3r7rfr,"2020-05-16 17:12:35",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnffsd3xer,"2020-05-16 17:13:10",dd1wc4yx,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
7x9xtynzfa,"2020-05-16 17:17:05",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
df5pzn5pm6,"2020-05-16 17:19:31",dd1wc4yx,5,3,3,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,3
9e64z1ctyd,"2020-05-16 17:22:35",dd1wc4yx,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
xsx1t76c25,"2020-05-16 17:23:33",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h2f1h1ae3m,"2020-05-16 17:28:57",dd1wc4yx,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dhccapfd95,"2020-05-16 17:29:03",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a64t5ayz9r,"2020-05-16 17:36:14",dd1wc4yx,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xr3ywt47x1,"2020-05-16 17:38:13",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xyfkwm72sa,"2020-05-16 17:38:59",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pzk1akx3zk,"2020-05-16 17:39:08",dd1wc4yx,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5xekzc6p14,"2020-05-16 17:41:46",dd1wc4yx,5,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3
amkzk4kreh,"2020-05-16 17:43:06",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74f16xef1h,"2020-05-16 17:46:03",dd1wc4yx,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
scfy99yar5,"2020-05-16 17:49:25",dd1wc4yx,5,4,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
yatmee5ear,"2020-05-16 17:51:40",dd1wc4yx,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wktskfrsp5,"2020-05-16 17:55:00",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m11r6f1ma3,"2020-05-16 17:56:00",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cysztn59r2,"2020-05-16 17:58:28",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
z5sma2246h,"2020-05-16 18:01:05",dd1wc4yx,2,5,5,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3
ys66d4ctfc,"2020-05-16 18:03:19",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29smc9ze2s,"2020-05-16 18:09:02",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629cteychc,"2020-05-16 18:12:46",dd1wc4yx,5,5,2,0,4,3,0,0,0,0,3,0,0,0,0,4,0,0,3
hs9rk5249y,"2020-05-16 18:14:19",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pr5sxp9mz1,"2020-05-16 18:16:59",dd1wc4yx,0,5,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
t3164ppxem,"2020-05-16 18:29:09",dd1wc4yx,3,2,3,2,2,3,1,1,1,1,4,1,1,1,3,1,3,1,5
474wh5fhxr,"2020-05-16 18:29:54",dd1wc4yx,5,0,3,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0
w5nwxd94d6,"2020-05-16 18:30:29",dd1wc4yx,5,1,1,0,3,1,1,1,1,1,3,1,1,1,1,1,1,1,3
n7rcyx5ezp,"2020-05-16 18:37:09",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ec691aw6h,"2020-05-16 18:42:21",dd1wc4yx,1,2,3,1,2,1,1,1,1,1,1,4,2,1,2,1,3,1,5
n1ysrmn6dx,"2020-05-16 18:42:49",dd1wc4yx,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
s611yw75dz,"2020-05-16 18:43:52",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ksa97fcew4,"2020-05-16 18:47:07",dd1wc4yx,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tfknczpchn,"2020-05-16 18:47:43",dd1wc4yx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npxseay9cm,"2020-05-16 18:52:21",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rh3dw7k7nc,"2020-05-16 19:06:31",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9c2da6f9t,"2020-05-16 19:10:17",dd1wc4yx,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ac1wfn4yc3,"2020-05-16 19:14:35",dd1wc4yx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9meyth191x,"2020-05-16 19:24:45",dd1wc4yx,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2y65wds2hx,"2020-05-16 19:26:17",dd1wc4yx,4,1,4,1,3,5,2,3,3,2,4,2,2,3,5,5,3,3,1
yzfxfrzfwa,"2020-05-16 19:40:07",dd1wc4yx,3,5,3,3,4,2,0,0,0,0,4,0,0,0,0,4,0,0,4
